,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
988,5e5dbfe85a4b4bd4eb1eddc3,mp-9907,SrAs3,300,4.26623889,-0.6104509937499998,8,81.27080000000001,40.312340640000045,1.575,0.18062500000000004,1.565,0.37822500000000014,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,16,36,13,2,0,0,0,0,0,0,1,0,0,2.11465,90563400.0
989,5e5dbfe85a4b4bd4eb1eddc4,mp-752725,LiAgF2,300,-0.6817056,-2.1157762978866668,16,44.602534399999996,2025.5023838934067,1.1833333333333333,0.23722222222222222,2.2966666666666664,1.567222222222222,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,16,18,18,1,0,0,0,0,1,0,0,0,0,7.26865,690.597
992,5e5dbfe95a4b4bd4eb1eddc7,mp-779864,Hf2N2O,300,4.22360528,-2.5422317907019973,40,69.4987,5940.213546726667,0.9333333333333332,0.19055555555555556,2.5933333333333333,0.8630222222222222,0.6666666666666666,0.888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,6,19,18,32,10,2,0,0,0,0,0,0,1,0,7.90244,746.075
993,5e5dbfe95a4b4bd4eb1eddc8,mp-570591,CsHgCl3,300,-0.05508999,-1.5108715051973793,5,122.98281730000001,4594.267466869224,1.7,0.44666666666666677,1.9833333333333334,0.936288888888889,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,6,24,43,50,26,3,0,0,0,0,1,0,0,0,38.1895,39159100.0
994,5e5dbfe95a4b4bd4eb1eddc9,mp-631277,SrCrW2,300,5.46512657,1.453166239999999,4,107.81869999999999,3101.1294020466667,1.5833333333333333,0.08722222222222221,1.6566666666666665,0.33135555555555557,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,24,49,41,14,2,0,0,0,0,1,0,0,0,9.04774,1556100000.0
995,5e5dbfe95a4b4bd4eb1eddca,mp-10694,ScF3,300,-3.59716882,-4.3191844433925,4,31.977157599999998,168.44806577551935,1.05,0.30250000000000005,2.67,1.7161,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,15,9,2,0,0,0,0,0,0,1,0,0,0,8.56774,320.691
999,5e5dbfea5a4b4bd4eb1eddce,mp-757800,LiCuCO3,300,5.11585347,-1.6563179756481488,54,24.624275,515.272408686875,1.025,0.143125,2.2175000000000002,0.80931875,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,8,19,18,1,0,0,0,0,0,0,0,0,1,0,7.57486,680.785
1001,5e5dc0105a4b4bd4eb1edfc4,mp-866943,Ca2SnS4,300,2.35745858,-1.6740764626785725,28,63.61766666666666,1528.2839575555554,1.4166666666666667,0.10722222222222222,1.8466666666666667,0.42248888888888897,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,6,24,32,20,4,0,0,1,0,0,0,0,0,0,8.52918,1222.91
1002,5e5dc0105a4b4bd4eb1edfc5,mp-27161,ZnI2,300,-0.05943749,-0.6172268847916665,48,96.156735,945.4232076302249,1.375,0.0006249999999999956,2.1550000000000002,0.2550250000000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,4,16,36,20,7,0,0,1,0,0,0,0,0,0,9.35275,1335.14
1003,5e5dc0105a4b4bd4eb1edfc6,mp-8891,K2Zr(BO3)2,300,1.01653093,-3.0036503583484855,11,39.283175,1012.670601981875,1.2999999999999998,0.3912500000000001,1.9075,0.97056875,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,8,25,26,11,2,0,0,0,1,0,0,0,0,0,6.18449,450.524
1004,5e5dc0105a4b4bd4eb1edfc7,mp-7631,SiC,300,8.00778845,-0.20497564770833301,12,20.048099999999998,64.59979876,0.9,0.04000000000000003,2.2249999999999996,0.10562499999999997,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,12,4,0,0,0,0,0,0,0,0,0,0,1,17.3658,974.471
1005,5e5dc0105a4b4bd4eb1edfc8,mp-2544,Zr2Be17,300,4.2378852,-0.24865762473684216,19,50.118091,1689.695754716281,1.3,0.0625,1.4500000000000002,0.0144,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,10,18,10,2,0,0,0,1,0,0,0,0,0,7.68842,659893000.0
1006,5e5dc0115a4b4bd4eb1edfc9,mp-540813,K3ReC4(N2O)2,300,-1.1121375,-0.7593353866799991,14,53.46442,4501.185648389601,1.1,0.3770000000000001,2.35,0.84952,0.4,0.6400000000000002,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,10,31,26,33,13,2,0,0,0,0,0,0,1,0,1.22518,17.0987
1007,5e5dc0115a4b4bd4eb1edfca,mp-546707,Na4CO4,300,0.51072118,-1.7305935190833328,9,16.999956426666667,20.590550290645275,1.0333333333333332,0.2955555555555556,2.3066666666666666,1.0796222222222218,1.3333333333333333,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,6,18,1,0,0,0,0,1,0,0,0,0,0,0,8.62527,928.143
1009,5e5dc0115a4b4bd4eb1edfcc,mp-17695,Sc5Sn3,300,6.01435325,-0.6831760837500003,16,81.832956,1359.916374177936,1.525,0.00562500000000001,1.6600000000000001,0.08999999999999997,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,16,27,20,4,0,0,0,0,0,0,0,0,1,54.8794,114594000.0
1012,5e5dc0115a4b4bd4eb1edfcf,mp-764459,Li3Fe4(BO3)4,300,1.8953235,-2.395403547028985,46,22.399099999999997,383.20532603,1.075,0.130625,2.0725,0.78086875,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,8,18,14,2,0,0,0,0,0,0,0,0,1,0,0.0935868,2.04656
1013,5e5dc0115a4b4bd4eb1edfd0,mp-626528,NbHO3,300,-0.13651928,-2.508622581974001,20,36.637906666666666,1620.527857787289,0.7666666666666666,0.2538888888888889,2.4133333333333336,0.587022222222222,0.6666666666666666,0.888888888888889,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,5,14,18,12,1,0,0,0,0,0,0,0,1,0,9.64955,623.171
1015,5e5dc0125a4b4bd4eb1edfd2,mp-554083,BaZnAs2O7,300,0.43459465,-2.169028122613638,44,73.41425,1861.9151861675,1.3125,0.30921875,2.04,0.8635499999999999,0.5,0.75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,8,30,54,25,8,2,0,0,0,0,0,1,0,0,9.2263,1155.55
1017,5e5dc0125a4b4bd4eb1edfd4,mp-555074,Hg3AsS4Br,300,0.94547602,-0.4987189468055557,18,96.87015,3931.7759608675005,1.2,0.03375,2.4299999999999997,0.13769999999999996,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,8,32,60,44,18,2,0,0,0,0,0,0,0,1,13.1287,1281.01
1018,5e5dc0125a4b4bd4eb1edfd5,mp-4584,Tl3BO3,300,3.06438163,-1.6606245161309527,14,77.06456666666666,8109.516511228889,1.1166666666666667,0.3172222222222221,2.3666666666666667,0.6054222222222222,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,6,17,18,32,18,3,0,0,0,0,0,0,0,1,10.2265,1440.57
1020,5e5dc0125a4b4bd4eb1edfd7,mp-759498,LiSbP2O7,300,1.87978428,-2.4512790884577926,44,43.9185405,2093.4192537980216,1.125,0.125625,2.165,0.760925,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,8,23,23,18,5,0,0,0,0,0,0,1,0,0,5.4848,299.039
1021,5e5dc0125a4b4bd4eb1edfd8,mp-13610,ZnPbF6,300,-1.97115131,-2.4175102090175002,8,97.20246773333332,6408.719134933548,1.2166666666666666,0.29055555555555557,2.6533333333333338,0.957088888888889,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,6,23,36,34,18,4,0,0,1,0,0,0,0,0,8.03294,824.968
1025,5e5dc0135a4b4bd4eb1edfdc,mp-18244,K6MnS4,300,1.18720876,-1.284823719477273,22,42.03378166666667,91.50455756967226,1.5333333333333332,0.24888888888888902,1.6500000000000001,0.5212666666666667,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6,24,27,3,0,0,0,0,0,0,0,0,0,1,7.23716,1599.15
1026,5e5dc0135a4b4bd4eb1edfdd,mp-975274,RbNaO3,300,-1.40798314,-0.5161202642189657,5,41.485656426666665,975.3586870977812,1.5833333333333333,0.533888888888889,1.7300000000000002,1.4640666666666666,1.3333333333333333,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6,22,19,8,1,0,0,0,0,0,1,0,0,0,1.62923,233479000.0
1029,5e5dc0135a4b4bd4eb1edfe0,mp-973352,NaCo3,300,2.9829849,0.6505557251249998,8,40.96148214,322.98246312228935,1.5750000000000002,0.05062499999999999,1.405,0.22562499999999994,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,16,16,2,0,0,0,0,0,0,0,0,0,1,67.1314,424938000.0
1030,5e5dc0135a4b4bd4eb1edfe1,mp-775334,V3Cu(PO4)4,300,2.492372,-2.5075768920238084,24,40.365165499999996,332.77473191827073,1.0750000000000002,0.09562500000000003,2.29,0.48005000000000003,1.5,0.75,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,30,34,3,0,0,0,0,0,0,0,1,0,0,7.06024,349.164
1035,5e5dc0145a4b4bd4eb1edfe6,mp-775989,CrFe3Sb2(PO4)6,300,1.98701217,-2.414470923968255,36,55.31485239999999,1312.8892585667431,1.17,0.10759999999999999,2.234,0.396584,1.6,0.6400000000000002,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,10,38,50,21,5,0,0,0,1,0,0,0,0,0,0.51467,17.262
1037,5e5dc0145a4b4bd4eb1edfe8,mp-1024,CaGe2,300,3.70033156,-0.4789775583333326,6,56.359,265.07096099999995,1.525,0.07562500000000001,1.505,0.2550249999999999,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,16,26,6,0,0,0,0,1,0,0,0,0,0,80.454,173285000.0
1039,5e5dc0155a4b4bd4eb1edfea,mp-558847,AlSBr3N,300,-1.06692789,-0.7923883594070832,24,38.239309649999996,622.0063252697392,1.0125,0.05171874999999999,2.5475000000000003,0.32316875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,8,29,27,7,0,0,0,0,0,0,0,1,0,0,0.834713,6.30824
1040,5e5dc0155a4b4bd4eb1edfeb,mp-776452,Ca2Ti6N2O11,300,3.1535977,-3.1828415171909525,21,29.487775,217.887180111875,1.1125,0.25796874999999997,2.255,1.0266749999999998,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,8,27,18,4,0,0,0,0,0,0,0,1,0,0,6.30545,337.288
1041,5e5dc0155a4b4bd4eb1edfec,mp-10086,YSF,300,4.25563181,-3.3621899350841673,6,46.656417733333335,920.9632554167889,1.0999999999999999,0.2866666666666667,2.5933333333333333,1.2696888888888889,1.3333333333333333,0.888888888888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,6,23,24,9,2,0,0,1,0,0,0,0,0,0,10.497,1272.46
1043,5e5dc0155a4b4bd4eb1edfee,mp-554886,Ba3Nb2(P2O9)2,300,0.53722332,-3.143451156891535,27,69.3016355,2373.697093649401,1.2999999999999998,0.33124999999999993,2.03,0.8745499999999998,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,8,30,41,30,9,2,0,0,0,0,0,0,1,0,1.35578,12.1538
1044,5e5dc0155a4b4bd4eb1edfef,mp-28474,S7(N3O4)2,300,-0.53752096,-0.8587308177484523,42,20.690366666666666,65.35295061555554,0.75,0.03166666666666667,3.0199999999999996,0.12346666666666663,1.3333333333333333,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,6,19,6,0,0,0,0,1,0,0,0,0,0,0,0.934662,6.80451
1046,5e5dc0155a4b4bd4eb1edff1,mp-560721,NaCaBeSi2O6F,300,1.67115863,-3.3042357356825,48,22.527209079999995,96.14325685071988,1.1416666666666668,0.2636805555555556,2.1366666666666667,1.370288888888889,0.3333333333333333,0.5555555555555557,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,12,39,13,2,0,0,0,0,0,1,0,0,0,0,9.29943,1097.04
1047,5e5dc0165a4b4bd4eb1edff2,mp-10721,Ti2C,300,5.98996473,-0.6428204815277793,12,29.93885,321.4185624225,1.0499999999999998,0.12249999999999998,2.045,0.2550249999999999,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,12,10,2,0,0,0,0,0,0,1,0,0,0,143.509,302556000.0
1048,5e5dc0165a4b4bd4eb1edff3,mp-29787,Ba5Pt2O9,300,2.89565516,-2.3247087880468755,48,116.1368,5569.727947546667,1.3666666666666665,0.40055555555555555,2.203333333333333,1.0866888888888886,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,22,36,50,25,3,0,0,1,0,0,0,0,0,2.5699,137.684
1049,5e5dc0165a4b4bd4eb1edff4,mp-17944,NaCaAlF6,300,-1.84158139,-3.8512599018488887,27,27.26192777,62.716875493475825,1.3375,0.28421875,1.8800000000000001,1.5399499999999995,1.5,0.75,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,8,31,12,2,0,0,0,0,1,0,0,0,0,0,8.53785,1002.79
1053,5e5dc0165a4b4bd4eb1edff8,mp-571664,Zr2Rh,300,4.84958197,-0.5562039133333343,6,97.06475,34.114360562499996,1.4500000000000002,0.009999999999999995,1.805,0.22562499999999988,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,16,36,26,3,0,0,1,0,0,0,0,0,0,13.0467,595722000.0
1054,5e5dc0165a4b4bd4eb1edff9,mp-16305,ScPRu,300,8.02666155,-1.192987314603174,9,58.99989133333333,917.5304413829873,1.3,0.06000000000000002,1.9166666666666667,0.15495555555555554,0.6666666666666666,0.888888888888889,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,6,24,32,17,1,0,0,0,0,0,0,0,0,1,0.0283302,826484000.0
1056,5e5dc0175a4b4bd4eb1edffb,mp-762050,Li4Cu7(PO4)6,300,2.88462996,-2.0383499068989543,41,29.3650405,463.10097888152075,1.1,0.11125,2.1275,0.77376875,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,23,23,1,0,0,0,0,0,0,0,1,0,0,6.65009,19072000.0
1061,5e5dc0175a4b4bd4eb1ee000,mp-2895,Mg2SiO4,300,3.05422383,-3.2399008210714286,28,22.796633333333332,25.483220535555557,1.0666666666666667,0.13555555555555557,2.216666666666667,0.8062888888888889,1.3333333333333333,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,6,22,6,0,0,0,0,0,0,1,0,0,0,0,9.4308,1398.97
1062,5e5dc0175a4b4bd4eb1ee001,mp-977059,MgPd5,300,4.38796007,-0.33490896000000053,6,65.3625,1685.71830625,1.45,0.0025000000000000044,1.7550000000000001,0.19802500000000006,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,16,20,18,0,0,0,0,0,0,0,0,0,1,20.6144,595523000.0
1064,5e5dc0185a4b4bd4eb1ee003,mp-772181,Cs3GaO3,300,0.50221505,-1.7637441403386696,28,72.87595063333333,2282.808043989034,1.5,0.6866666666666669,2.013333333333333,1.1910888888888889,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,6,22,36,21,8,1,0,0,0,0,1,0,0,0,9.77669,1112.42
1065,5e5dc0185a4b4bd4eb1ee004,mp-779241,LiCu5(PO4)2,300,4.89213947,-1.6256273093303566,32,29.3650405,463.10097888152075,1.1,0.11125,2.1275,0.77376875,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,23,23,1,0,0,0,0,0,0,0,0,1,0,25.6999,133241.0
1067,5e5dc0185a4b4bd4eb1ee006,mp-775156,LiMnSiO4,300,1.0400185,-2.5993905071014285,56,26.49098625,326.0132425103172,1.1375000000000002,0.11421875,1.9675000000000002,0.8305687500000001,1.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,8,23,17,2,0,0,0,0,0,1,0,0,0,0,2.30876,124.576
1068,5e5dc0185a4b4bd4eb1ee007,mp-541040,Y2Be2GeO7,300,2.01258562,-3.2928334217708346,24,46.639358,1204.275282593742,1.175,0.185625,2.06,0.7131499999999998,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,8,24,36,13,2,0,0,1,0,0,0,0,0,0,8.92335,1072.08
1069,5e5dc0185a4b4bd4eb1ee008,mp-779456,Y2ReO5,300,3.82534754,-3.2385651745312494,32,97.03741666666667,4861.499037853889,1.25,0.24500000000000002,2.1866666666666665,0.862488888888889,0.6666666666666666,0.888888888888889,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,6,22,36,41,15,2,0,1,0,0,0,0,0,0,6.61974,495.94
1070,5e5dc0185a4b4bd4eb1ee009,mp-18634,CdSO3,300,1.12378648,-1.7893050590625004,30,53.491800000000005,1778.75331488,1.05,0.1516666666666667,2.57,0.5104666666666667,1.3333333333333333,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,6,22,24,18,2,0,0,0,1,0,0,0,0,0,7.71706,720.685
1072,5e5dc0195a4b4bd4eb1ee00b,mp-16830,Sr(Ni2B)6,300,7.32870029,-0.34412452947368427,19,52.3748,1003.2327664800001,1.4000000000000001,0.22166666666666668,1.6333333333333335,0.2362888888888889,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,6,19,34,10,2,0,0,0,1,0,0,0,0,0,29.7526,478939000.0
1075,5e5dc0195a4b4bd4eb1ee00e,mp-9915,LiBeP,300,4.30075446,-0.586337314047619,6,15.642314666666666,118.2416044802409,1.1666666666666667,0.040555555555555546,1.58,0.24406666666666665,1.3333333333333333,0.888888888888889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,6,11,5,0,0,0,0,1,0,0,0,0,0,0,12.7338,1448.07
1076,5e5dc0195a4b4bd4eb1ee00f,mp-4200,ScPO4,300,2.9809005,-3.3769421878571424,12,30.643024666666665,139.80129145952088,1.0666666666666667,0.16888888888888895,2.33,0.7308666666666666,1.3333333333333333,0.888888888888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,6,22,14,2,0,0,0,1,0,0,0,0,0,0,4.26363,98.3724
1078,5e5dc01a5a4b4bd4eb1ee011,mp-768482,Bi2(SO4)3,300,0.01978498,-1.9922235886580888,34,85.6816,7644.31429128,1.0666666666666667,0.16888888888888895,2.6799999999999997,0.34106666666666663,1.3333333333333333,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,6,22,24,32,18,5,0,0,1,0,0,0,0,0,7.42742,766.932
1082,5e5dc01a5a4b4bd4eb1ee015,mp-604910,MnSe,300,3.63259995,-0.3292967042968744,4,66.9490225,144.26358050550616,1.275,0.015625,2.05,0.2499999999999999,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,16,31,8,0,0,0,1,0,0,0,0,0,0,1.49129,340400000.0
1083,5e5dc01a5a4b4bd4eb1ee016,mp-680384,Sr10Ga6O19,300,1.2041045,-2.8412558986071432,140,57.7808,926.2264611466667,1.3,0.32666666666666666,2.0666666666666664,1.0662888888888888,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,6,22,36,11,2,0,0,0,0,0,0,1,0,0,11.0152,1038.33
1084,5e5dc01a5a4b4bd4eb1ee017,mp-752496,TiOF,300,6.11107204,-3.4124220630355566,12,27.621601066666667,206.43709235050892,0.8333333333333334,0.16222222222222218,2.986666666666667,1.0950222222222221,0.6666666666666666,0.888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,6,21,10,2,0,0,0,0,0,0,0,1,0,0,39.0807,61933500.0
1085,5e5dc01a5a4b4bd4eb1ee018,mp-757850,K4Sb2O5,300,1.41232599,-1.876360026204545,44,58.95256666666666,2061.313371162222,1.4166666666666667,0.4272222222222222,2.1033333333333335,1.145488888888889,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,6,22,26,19,5,0,0,0,0,1,0,0,0,0,15.5428,626.786
1087,5e5dc01b5a4b4bd4eb1ee01a,mp-706629,NaB2H5O6,300,-1.30225646,-2.020970613459524,84,12.702027320000001,64.25949094978155,0.875,0.33062500000000006,2.1525,0.7917687499999999,0.75,0.6875,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,7,17,1,0,0,0,0,0,1,0,0,0,0,0,8.52579,928.612
1088,5e5dc01b5a4b4bd4eb1ee01b,mp-722527,AlH11SO10,300,-1.06192055,-1.7477913557122828,92,19.013469649999998,141.77907027525134,0.775,0.145625,2.4575,0.4412187499999999,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,7,22,9,0,0,0,0,0,0,0,0,1,0,0,8.94346,977.558
1089,5e5dc01b5a4b4bd4eb1ee01c,mp-675332,InI4,300,-1.70135152,-0.23414760066666648,30,120.861235,36.52068926522503,1.475,0.00562500000000001,2.22,0.19360000000000005,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,16,36,36,10,0,0,0,0,0,1,0,0,0,1.5832,5171730.0
1091,5e5dc01b5a4b4bd4eb1ee01e,mp-9984,SnS2,300,2.93323496,-0.8210141810416663,6,75.38749999999999,1876.8390062499998,1.225,0.05062499999999999,2.27,0.09610000000000003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,4,16,24,18,4,0,0,0,0,0,0,0,0,1,15.5998,1086.38
1092,5e5dc01b5a4b4bd4eb1ee01f,mp-27758,AlTl2F5,300,-0.12801003,-2.99055946074375,16,83.45441393333333,7322.519484464879,1.2166666666666666,0.32722222222222214,2.4033333333333338,1.2429555555555554,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,6,23,21,32,18,3,0,0,0,1,0,0,0,0,8.03487,593.977
1094,5e5dc01b5a4b4bd4eb1ee021,mp-972296,ZrOsO3,300,6.85101452,-1.2525909302499998,5,99.15113333333333,5090.803384168888,1.1500000000000001,0.16166666666666668,2.3233333333333333,0.749622222222222,0.6666666666666666,0.888888888888889,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,6,22,36,42,16,2,0,0,0,0,1,0,0,0,37.852,898884000.0
1095,5e5dc01c5a4b4bd4eb1ee022,mp-6960,Rb2SiAs2,300,2.15032753,-0.4300575561379304,10,62.82496666666666,621.9523278822221,1.5333333333333332,0.33388888888888896,1.6333333333333335,0.34382222222222225,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,6,24,40,13,1,0,0,0,0,1,0,0,0,0,13.6753,3141.46
1098,5e5dc01c5a4b4bd4eb1ee025,mp-642031,Sr11Al4In3,300,2.8877691,-0.26374468166666687,36,76.47317953333334,1347.9997951369978,1.5999999999999999,0.09500000000000001,1.4466666666666665,0.12815555555555558,0.6666666666666666,0.888888888888889,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,24,39,26,5,0,0,0,0,0,1,0,0,0,3.19613,47361900.0
1099,5e5dc01c5a4b4bd4eb1ee026,mp-558595,Ba6Ru3(ClO6)2,300,2.69868929,-2.4487625561530435,23,72.46235,2395.8942920675,1.2625,0.32421875,2.4225,0.9943187499999999,0.5,0.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,8,30,43,33,9,2,0,0,1,0,0,0,0,0,12.1631,6602080.0
1100,5e5ec761c19e06e586d63856,mp-27162,Sc3Co,300,4.2037068,-0.22083221468749947,32,51.9445535,48.84111001552225,1.475,0.015625,1.62,0.06759999999999994,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,16,24,4,0,0,0,0,0,1,0,0,0,0,6.153,57017800.0
1101,5e5ec762c19e06e586d63857,mp-554791,RuO4,300,-3.06285658,-1.2090771637500004,40,58.534699999999994,1809.2517460899996,0.95,0.12250000000000003,2.8200000000000003,0.38439999999999985,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,14,18,15,1,0,0,0,0,0,1,0,0,0,3.27653,151.338
