,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
146,5e5dbf0c5a4b4bd4eb1ed691,mp-695452,K2Al11Si13(Ag3O16)3,300,0.43424952,-2.735403376156627,83,43.60658772,1085.866541410603,1.35,0.2840000000000001,1.94,0.7230000000000001,1.2,0.9600000000000002,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,10,38,33,19,1,0,0,0,0,0,0,0,1,0,0.502492,4.19535
148,5e5dbf0c5a4b4bd4eb1ed693,mp-2123,Nb3Au2,300,5.38887178,-0.14405132199999998,5,144.9364745,2707.1307336789296,1.4,0.0024999999999999935,2.0700000000000003,0.22089999999999999,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,16,36,44,19,1,0,1,0,0,0,0,0,0,88.0171,826980000.0
149,5e5dbf0c5a4b4bd4eb1ed694,mp-631354,ReOsRu,300,6.11092503,0.6869372758333346,3,159.169,1690.444322,1.3166666666666667,0.0005555555555555566,2.1,0.020000000000000035,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,24,54,79,28,4,0,0,0,0,1,0,0,0,48.4126,1222460000.0
150,5e5dbf0c5a4b4bd4eb1ed695,mp-607225,Mn2Ga5,300,4.74225302,-0.12834813571428633,14,62.3305225,54.64872358800623,1.35,0.0024999999999999935,1.6800000000000002,0.0169,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,16,31,5,0,0,0,1,0,0,0,0,0,0,0.506349,348299000.0
152,5e5dbf0c5a4b4bd4eb1ed697,mp-720808,H2Ru6(CO)17,300,0.03782154,-0.8880889090414279,84,32.522009999999995,1596.4185050332997,0.7124999999999999,0.14296875,2.5975,0.2570187499999999,0.25,0.1875,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,7,18,18,15,1,0,0,0,0,0,0,0,1,0,0.121114,1.28035
154,5e5dbf0d5a4b4bd4eb1ed699,mp-28584,Tl2CuI3,300,3.18821169,-0.49690989374999955,24,131.61125666666666,3316.9344322444217,1.55,0.06166666666666664,2.06,0.19306666666666672,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,6,24,54,51,25,3,0,0,0,1,0,0,0,0,10.6263,1813.75
158,5e5dbf0d5a4b4bd4eb1ed69d,mp-7895,Rb2O2,300,1.24411331,-1.2184473120474144,4,50.733599999999996,1206.4646496399998,1.475,0.7656250000000001,2.13,1.7161000000000002,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,14,18,8,1,0,0,0,0,1,0,0,0,0,10.128,755.302
159,5e5dbf0d5a4b4bd4eb1ed69e,mp-976080,Ge3B,300,4.58486239,0.9856307683333334,8,41.7255,955.70631025,1.05,0.04000000000000001,2.025,0.00022500000000000373,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,11,18,4,0,0,0,0,0,0,0,0,0,1,2.69711,4138260000.0
160,5e5dbf0e5a4b4bd4eb1ed69f,mp-764375,Li2VF6,300,-1.69634068,-3.1447947541266665,54,25.62696773333333,344.6429339279489,1.0999999999999999,0.18166666666666664,2.1966666666666668,1.6605555555555558,0.6666666666666666,0.888888888888889,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,16,11,2,0,0,0,0,0,0,0,0,1,0,0.0134095,0.196875
161,5e5dbf0e5a4b4bd4eb1ed6a0,mp-625112,H8PtO6,300,1.07095314,-1.2338485637640004,30,70.69711333333333,7773.506099468355,0.7333333333333334,0.2105555555555556,2.64,0.32106666666666667,0.3333333333333333,0.22222222222222224,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,5,14,18,32,17,1,0,0,0,0,0,0,1,0,4.90227,245.049
