,id,identifier,formula,temperature,energy,volume,⟨S²σ⟩p,⟨S²σ⟩n,κₑᵉ
82,5e5dbf045a4b4bd4eb1ed651,mp-762643,LiFeSiO4,300,-96.22090193,141.77282501855635,5426.68,3.79302,232.606
83,5e5dbf045a4b4bd4eb1ed652,mp-672963,Sb(PO3)4,300,-468.65953947,1062.172461562594,8179.55,8.21054,3704150.0
86,5e5dbf045a4b4bd4eb1ed655,mp-743607,Li2Ti4Co(PO5)4,300,-476.87675425,696.276816998003,294.274,0.451786,3.7786
87,5e5dbf055a4b4bd4eb1ed656,mp-32645,Sm2S3,300,-256.76806459,915.9283331371985,5223.72,9.22276,1055.26
88,5e5dbf055a4b4bd4eb1ed657,mp-10288,LaCuTeS,300,-86.05388339,379.62654887174125,7861.71,11.4131,1388.21
89,5e5dbf055a4b4bd4eb1ed658,mp-768200,Li2HoPCO7,300,-172.46130139,299.4125045785958,1048.58,8.19684,835.646
92,5e5dbf055a4b4bd4eb1ed65b,mp-18071,Ce3SiAgSe7,300,-131.82459183,611.7820515224475,673.382,0.673314,2043600.0
93,5e5dbf055a4b4bd4eb1ed65c,mp-583454,Nb2Bi2PbO9,300,-206.50505807,409.0615247831131,4609.88,6.93305,345.54
94,5e5dbf055a4b4bd4eb1ed65d,mp-557025,K2SeO4,300,-424.69869582,1530.2064041040844,305.125,7.11736,960.249
95,5e5dbf065a4b4bd4eb1ed65e,mp-980052,Yb3In,300,-8.26939158,125.01985048437821,1606.14,1.60608,543780000.0
99,5e5dbf065a4b4bd4eb1ed662,mp-20462,U3Co4Ge7,300,-99.55748127,232.50749814946843,777.672,0.777712,71971300.0
100,5e5dbf065a4b4bd4eb1ed663,mp-768326,Na4Sn2C4SO16,300,-349.07461897,747.900362600509,0.30354,5.07884,361.564
102,5e5dbf065a4b4bd4eb1ed665,mp-779347,V4OF11,300,-199.36812203,434.05580700067117,1420.65,1.74023,108.222
103,5e5dbf065a4b4bd4eb1ed666,mp-28856,Na7Au5S6,300,-255.49676035,1721.4333659079023,2703.19,9.29937,634.94
104,5e5dbf075a4b4bd4eb1ed667,mp-13680,BaBOF3,300,-152.92960632,337.07459495498256,564.16,9.05987,1055.05
105,5e5dbf075a4b4bd4eb1ed668,mp-774910,LiSb(TeO4)3,300,-92.74217067,202.50603682800724,1144.53,8.11973,850.717
106,5e5dbf075a4b4bd4eb1ed669,mp-772272,Li2Cr2O7,300,-275.13766043,571.1831229388208,864.45,1.08663,47.9984
107,5e5dbf075a4b4bd4eb1ed66a,mp-615420,U3CuO10,300,-125.20057973,208.81077922063065,1545.89,2.10878,126.98
109,5e5dbf075a4b4bd4eb1ed66c,mp-651601,K2Fe2P2O7F2,300,-369.32756699,966.121638401867,598.674,6.09664,899.598
110,5e5dbf075a4b4bd4eb1ed66d,mp-583221,Ba7B4Se13,300,-232.87021437,1453.3377158076296,1274.95,3.86091,325.323
111,5e5dbf075a4b4bd4eb1ed66e,mp-13453,BePd3,300,-41.70834069,107.71273628820424,85906.1,85.92,1241510000.0
112,5e5dbf085a4b4bd4eb1ed66f,mp-776680,TiMn2Ni3(PO4)6,300,-249.76336827,451.4253199163179,8507.08,8.5041,12158200.0
113,5e5dbf085a4b4bd4eb1ed670,mp-769856,Li4Fe3NiO8,300,-92.60368903,148.88268693458068,18620.4,18.6046,93314700.0
114,5e5dbf085a4b4bd4eb1ed671,mp-777480,Li2Ti3MnO8,300,-223.74961613,307.1370509301238,3745.95,6.32066,328.905
117,5e5dbf085a4b4bd4eb1ed674,mp-764443,Li4Mn3Fe3(WO8)2,300,-189.97470173,307.4202706283317,5206.0,5.20703,22947100.0
118,5e5dbf085a4b4bd4eb1ed675,mp-571350,Ba(AsPd)2,300,-50.94968144,217.12817887014205,58136.1,58.1468,525442000.0
124,5e5dbf095a4b4bd4eb1ed67b,mp-3040,TbCo3B2,300,-42.20069383,65.73703650555831,6083.71,6.08389,955985000.0
125,5e5dbf095a4b4bd4eb1ed67c,mp-631320,TcIrOs,300,-28.7879403,51.40944072771872,13261.3,13.2618,925070000.0
126,5e5dbf095a4b4bd4eb1ed67d,mp-775960,Li4V5Sb3O16,300,-187.72523589,326.42290359116043,5434.3,1.83173,70.7387
127,5e5dbf095a4b4bd4eb1ed67e,mp-559270,RbBa4Sb3O,300,-75.30768485,689.7180081025044,11625.3,14.7879,735.251
128,5e5dbf0a5a4b4bd4eb1ed67f,mp-704943,Li2Mn3ZnO8,300,-358.82951487,572.2723302095445,469.228,5.84753,296.564
129,5e5dbf0a5a4b4bd4eb1ed680,mp-10125,SbIr,300,-26.75291928,80.03844604152917,6555.78,6.55566,2026450000.0
130,5e5dbf0a5a4b4bd4eb1ed681,mp-783909,Li2MnSiO4,300,-220.90386747,365.2716188209479,1235.0,6.50597,1264.98
131,5e5dbf0a5a4b4bd4eb1ed682,mp-3284,CeSi2Pt,300,-53.62128823,151.04751242192393,46455.9,46.4487,151277000.0
132,5e5dbf0a5a4b4bd4eb1ed683,mp-979983,Cs3Yb,300,-6.90289339,723.4504545818412,3.14691,0.00314696,162558000.0
134,5e5dbf0a5a4b4bd4eb1ed685,mp-8184,Li2ZnGeO4,300,-89.08481746,181.59026773460658,871.802,9.45741,1185.19
135,5e5dbf0a5a4b4bd4eb1ed686,mp-772523,Ba8LiTa7O24,300,-334.59112981,576.8542846456482,38647.1,38.6681,119983000.0
136,5e5dbf0a5a4b4bd4eb1ed687,mp-21511,K2NaInP2,300,-39.23098449,336.3988371972672,1472.84,11.5732,2882.15
138,5e5dbf0b5a4b4bd4eb1ed689,mp-761041,TiP2O7,300,-312.08902397,530.1911998003745,2055.92,2.83832,134.249
139,5e5dbf0b5a4b4bd4eb1ed68a,mp-3307,BaSO4,300,-38.53412328,101.20581178825518,1893.32,8.66482,944.235
140,5e5dbf0b5a4b4bd4eb1ed68b,mp-567685,Er4InIr,300,-133.86033283,622.9940479049675,5088.45,5.08925,58201800.0
141,5e5dbf0b5a4b4bd4eb1ed68c,mp-974457,Ru3I,300,-25.79805435,63.04350703548205,22.3198,0.0223198,805122000.0
142,5e5dbf0b5a4b4bd4eb1ed68d,mp-4734,NaPO3,300,-261.40172456,545.8486540519011,432.49,8.8246,1103.41
144,5e5dbf0b5a4b4bd4eb1ed68f,mp-775804,Li3SbS3,300,-114.10354957,603.3693342114561,5440.42,9.30914,559.654
145,5e5dbf0c5a4b4bd4eb1ed690,mp-2698,YCu2,300,-30.89139935,107.5588455130265,5219.13,5.21938,853365000.0
146,5e5dbf0c5a4b4bd4eb1ed691,mp-695452,K2Al11Si13(Ag3O16)3,300,-569.34339833,1941.7346790364174,317.037,0.502492,4.19535
148,5e5dbf0c5a4b4bd4eb1ed693,mp-2123,Nb3Au2,300,-37.60691738,90.57231589016745,88028.1,88.0171,826980000.0
149,5e5dbf0c5a4b4bd4eb1ed694,mp-631354,ReOsRu,300,-30.86575542,51.89649312516345,48415.1,48.4126,1222460000.0
150,5e5dbf0c5a4b4bd4eb1ed695,mp-607225,Mn2Ga5,300,-68.74055744,215.9617980744763,506.333,0.506349,348299000.0
152,5e5dbf0c5a4b4bd4eb1ed697,mp-720808,H2Ru6(CO)17,300,-656.11486271,1323.1574223028724,135.364,0.121114,1.28035
154,5e5dbf0d5a4b4bd4eb1ed699,mp-28584,Tl2CuI3,300,-65.48731077,877.6442475870632,737.946,10.6263,1813.75
155,5e5dbf0d5a4b4bd4eb1ed69a,mp-764088,Li6Co2OF11,300,-95.19481751,202.59893769637353,4379.31,4.37849,13227900.0
157,5e5dbf0d5a4b4bd4eb1ed69c,mp-569477,La10Al5Br4,300,-179.97847392,1143.440137708515,3151.49,3.15093,63365800.0
158,5e5dbf0d5a4b4bd4eb1ed69d,mp-7895,Rb2O2,300,-15.83182457,93.17525017578897,2135.32,10.128,755.302
159,5e5dbf0d5a4b4bd4eb1ed69e,mp-976080,Ge3B,300,-33.20848427,129.452331930499,2697.05,2.69711,4138260000.0
160,5e5dbf0e5a4b4bd4eb1ed69f,mp-764375,Li2VF6,300,-288.23762538,668.6406161407967,41.9182,0.0134095,0.196875
161,5e5dbf0e5a4b4bd4eb1ed6a0,mp-625112,H8PtO6,300,-151.68188359,228.5007631467163,1605.82,4.90227,245.049
162,5e5dbf0e5a4b4bd4eb1ed6a1,mp-8202,CsRb2PdF5,300,-75.82157848,391.99236623426015,219.393,0.100518,0.244103
166,5e5dbf0e5a4b4bd4eb1ed6a5,mp-697135,H2S,300,-89.69658361,497.2995001758597,544.831,8.59051,943.419
167,5e5dbf0e5a4b4bd4eb1ed6a6,mp-541148,KUVO6,300,-288.90160809,601.8579413005046,2475.84,3.3947,124.972
168,5e5dbf0f5a4b4bd4eb1ed6a7,mp-775892,Ti3MnSb2(PO4)6,300,-271.05939555,487.6159951229465,34319.1,34.3696,3438070.0
